iter	Passed	Remaining
0	67	201838
1	143	214991
2	217	217633
3	281	210741
4	323	193711
5	392	195804
6	438	187587
7	509	190391
8	583	193973
9	652	195173
10	729	198359
11	767	190993
12	838	192703
13	917	195734
14	955	190123
15	1027	191605
16	1079	189433
17	1155	191368
18	1224	192087
19	1300	193702
20	1341	190369
21	1414	191505
22	1487	192522
23	1563	193857
24	1626	193583
25	1695	193988
26	1750	192766
27	1821	193357
28	1899	194639
29	1975	195588
30	2003	191891
31	2075	192545
32	2163	194497
33	2235	194971
34	2307	195456
35	2378	195870
36	2450	196263
37	2490	194144
38	2578	195796
39	2659	196781
40	2740	197752
41	2816	198365
42	2891	198828
43	2972	199698
44	3043	199865
45	3115	200051
46	3191	200550
47	3278	201634
48	3364	202601
49	3441	203074
50	3520	203578
51	3604	204358
52	3684	204845
53	3768	205587
54	3851	206239
55	3936	206961
56	4022	207677
57	4102	208082
58	4181	208433
59	4262	208865
60	4338	209027
61	4416	209289
62	4490	209341
63	4568	209589
64	4649	209940
65	4724	210037
66	4796	209962
67	4872	210079
68	4900	208173
69	4981	208521
70	5056	208592
71	5128	208569
72	5205	208718
73	5280	208802
74	5355	208876
75	5428	208863
76	5501	208840
77	5574	208814
78	5646	208792
79	5723	208916
80	5798	208974
81	5874	209046
82	5950	209118
83	6028	209260
84	6101	209252
85	6174	209202
86	6248	209218
87	6324	209282
88	6394	209157
89	6464	209032
90	6539	209048
91	6609	208931
92	6684	208933
93	6757	208896
94	6827	208780
95	6899	208719
96	6973	208702
97	7048	208730
98	7121	208676
99	7192	208568
100	7267	208584
101	7336	208444
102	7407	208345
103	7481	208326
104	7553	208263
105	7621	208076
106	7694	208051
107	7777	208276
108	7859	208444
109	7941	208643
110	8027	208937
111	8105	209000
112	8178	208961
113	8255	209003
114	8332	209025
115	8408	209063
116	8494	209301
117	8573	209389
118	8651	209454
119	8733	209596
120	8812	209686
121	8890	209722
122	8997	210444
123	9081	210622
124	9153	210536
125	9227	210471
126	9300	210387
127	9375	210362
128	9450	210322
129	9524	210262
130	9600	210250
131	9676	210249
132	9748	210141
133	9823	210101
134	9895	210009
135	9970	209973
136	10043	209891
137	10118	209840
138	10139	208692
139	10207	208514
140	10245	207740
141	10318	207671
142	10392	207637
143	10472	207699
144	10548	207697
145	10620	207611
146	10695	207579
147	10773	207610
148	10851	207636
149	10927	207616
150	11003	207600
151	11078	207575
152	11150	207489
153	11224	207431
154	11298	207386
155	11374	207359
156	11450	207354
157	11525	207306
158	11591	207119
159	11673	207196
160	11747	207154
161	11819	207054
162	11891	206962
163	11970	206996
164	12049	207032
165	12122	206952
166	12192	206839
167	12268	206810
168	12341	206732
169	12415	206675
170	12491	206656
171	12563	206569
172	12632	206422
173	12706	206376
174	12781	206325
175	12853	206247
176	12927	206188
177	13005	206193
178	13083	206198
179	13155	206100
180	13229	206050
181	13308	206059
182	13363	205710
183	13442	205729
184	13522	205763
185	13593	205663
186	13670	205637
187	13742	205554
188	13815	205475
189	13888	205404
190	13964	205367
191	14036	205286
192	14111	205243
193	14186	205186
194	14261	205145
195	14333	205055
196	14406	204988
197	14482	204950
198	14561	204955
199	14631	204839
200	14706	204788
201	14780	204732
202	14848	204589
203	14921	204517
204	14948	203813
205	15020	203723
206	15100	203751
207	15177	203726
208	15250	203650
209	15325	203616
210	15401	203575
211	15477	203548
212	15553	203507
213	15627	203448
214	15700	203373
215	15778	203362
216	15852	203312
217	15926	203246
218	16001	203195
219	16083	203235
220	16171	203347
221	16244	203281
222	16320	203241
223	16393	203157
224	16470	203136
225	16548	203121
226	16622	203058
227	16697	203004
228	16773	202971
229	16847	202902
230	16921	202841
231	17000	202834
232	17076	202786
233	17154	202773
234	17231	202744
235	17302	202647
236	17380	202620
237	17456	202584
238	17532	202540
239	17608	202494
240	17683	202443
241	17760	202413
242	17835	202356
243	17906	202250
244	17982	202208
245	18060	202194
246	18135	202138
247	18213	202108
248	18290	202073
249	18363	201997
250	18439	201952
251	18516	201918
252	18593	201878
253	18665	201797
254	18740	201741
255	18816	201693
256	18891	201632
257	18965	201567
258	19044	201551
259	19126	201559
260	19202	201515
261	19277	201458
262	19346	201336
263	19423	201300
264	19501	201267
265	19576	201208
266	19653	201170
267	19732	201156
268	19810	201122
269	19879	201006
270	19956	200959
271	20035	200941
272	20114	200926
273	20192	200897
274	20265	200816
275	20340	200747
276	20415	200689
277	20490	200631
278	20564	200561
279	20642	200528
280	20719	200488
281	20794	200419
282	20869	200366
283	20945	200308
284	21019	200238
285	21099	200226
286	21175	200169
287	21250	200113
288	21324	200034
289	21399	199974
290	21473	199900
291	21547	199833
292	21620	199752
293	21693	199672
294	21768	199604
295	21844	199555
296	21920	199496
297	21994	199424
298	22069	199363
299	22147	199328
300	22219	199236
301	22289	199128
302	22362	199048
303	22437	198982
304	22512	198924
305	22592	198898
306	22669	198858
307	22745	198799
308	22819	198730
309	22895	198676
310	22977	198668
311	23055	198634
312	23135	198612
313	23211	198558
314	23286	198491
315	23363	198438
316	23436	198362
317	23509	198277
318	23585	198223
319	23662	198169
320	23734	198080
321	23810	198022
322	23882	197932
323	23956	197863
324	24031	197795
325	24106	197734
326	24185	197701
327	24262	197652
328	24339	197599
329	24415	197539
330	24492	197492
331	24566	197423
332	24641	197352
333	24716	197287
334	24789	197205
335	24864	197141
336	24941	197087
337	25019	197047
338	25094	196981
339	25175	196960
340	25250	196897
341	25324	196823
342	25400	196759
343	25476	196703
344	25562	196719
345	25693	197085
346	25782	197123
347	25859	197064
348	25935	197004
349	26013	196957
350	26089	196898
351	26170	196875
352	26247	196822
353	26312	196677
354	26390	196624
355	26467	196572
356	26543	196511
357	26622	196470
358	26699	196416
359	26773	196337
360	26846	196252
361	26924	196204
362	26994	196100
363	27074	196069
364	27150	196007
365	27228	195952
366	27309	195925
367	27382	195843
368	27455	195763
369	27528	195675
370	27602	195598
371	27677	195530
372	27754	195473
373	27832	195423
374	27909	195363
375	27983	195292
376	28058	195219
377	28133	195147
378	28212	195105
379	28290	195057
380	28364	194975
381	28445	194947
382	28519	194872
383	28596	194814
384	28669	194731
385	28742	194643
386	28819	194585
387	28893	194512
388	28970	194454
389	29041	194353
390	29117	194291
391	29198	194257
392	29272	194184
393	29348	194114
394	29424	194051
395	29501	193997
396	29580	193950
397	29657	193889
398	29732	193821
399	29809	193764
400	29882	193676
401	29961	193628
402	30033	193541
403	30101	193424
404	30178	193366
405	30263	193359
406	30341	193307
407	30419	193250
408	30496	193191
409	30579	193171
410	30656	193111
411	30731	193043
412	30807	192976
413	30887	192937
414	30959	192842
415	31032	192761
416	31104	192670
417	31195	192692
418	31273	192641
419	31345	192553
420	31419	192469
421	31494	192402
422	31570	192336
423	31638	192221
424	31712	192142
425	31788	192075
426	31866	192017
427	31943	191957
428	32022	191913
429	32101	191861
430	32180	191811
431	32258	191758
432	32342	191739
433	32424	191708
434	32495	191613
435	32571	191545
436	32643	191450
437	32721	191397
438	32796	191327
439	32869	191240
440	32945	191175
441	33018	191086
442	33088	190989
443	33165	190922
444	33237	190833
445	33315	190777
446	33390	190704
447	33461	190610
448	33537	190542
449	33617	190500
450	33694	190438
451	33767	190354
452	33844	190291
453	33918	190212
454	33997	190160
455	34073	190093
456	34148	190023
457	34223	189950
458	34301	189889
459	34376	189816
460	34456	189772
461	34533	189709
462	34610	189648
463	34687	189586
464	34759	189494
465	34834	189423
466	34908	189345
467	34983	189267
468	35057	189191
469	35132	189119
470	35208	189049
471	35285	188987
472	35358	188905
473	35430	188814
474	35506	188745
475	35581	188672
476	35654	188589
477	35728	188509
478	35806	188453
479	35881	188376
480	35959	188319
481	36032	188236
482	36101	188129
483	36175	188054
484	36250	187978
485	36324	187899
486	36396	187811
487	36474	187756
488	36550	187685
489	36624	187606
490	36698	187529
491	36774	187461
492	36850	187389
493	36923	187309
494	36996	187223
495	37068	187135
496	37140	187049
497	37209	186944
498	37286	186879
499	37362	186814
500	37438	186744
501	37511	186661
502	37582	186568
503	37658	186499
504	37735	186434
505	37805	186339
506	37877	186247
507	37949	186163
508	38022	186079
509	38096	185998
510	38166	185904
511	38242	185836
512	38319	185771
513	38394	185699
514	38470	185628
515	38543	185546
516	38618	185473
517	38693	185401
518	38766	185315
519	38842	185248
520	38912	185151
521	38986	185074
522	39061	185002
523	39136	184928
524	39210	184847
525	39289	184793
526	39368	184742
527	39441	184659
528	39518	184593
529	39591	184513
530	39665	184431
531	39742	184368
532	39814	184280
533	39888	184202
534	39962	184127
535	40036	184049
536	40116	183996
537	40188	183909
538	40265	183845
539	40345	183793
540	40420	183720
541	40499	183666
542	40576	183604
543	40650	183526
544	40724	183448
545	40798	183368
546	40873	183294
547	40940	183186
548	41010	183088
549	41087	183024
550	41163	182958
551	41237	182880
552	41315	182820
553	41399	182784
554	41474	182710
555	41550	182641
556	41627	182577
557	41701	182498
558	41774	182417
559	41847	182335
560	41920	182254
561	41996	182183
562	42071	182112
563	42144	182028
564	42218	181951
565	42292	181873
566	42375	181831
